UC05_whatching_video.c(334): Notify: Stream id=1, play time: 00:00:12, buffering time: 00:00:00
UC05_whatching_video.c(334): Notify: Stream id=1, play time: 00:00:12, buffering time: 00:00:00
UC05_whatching_video.c(334): Notify: Stream id=1, play time: 00:00:12, buffering time: 00:00:00
UC05_whatching_video.c(334): Notify: Stream id=1, play time: 00:00:12, buffering time: 00:00:00
UC05_whatching_video.c(334): Notify: Stream id=1, play time: 00:00:12, buffering time: 00:00:00
UC05_whatching_video.c(334): Notify: Stream id=1, play time: 00:00:12, buffering time: 00:00:00
UC05_whatching_video.c(334): Notify: Stream id=1, play time: 00:00:12, buffering time: 00:00:00
UC05_whatching_video.c(334): Notify: Stream id=1, play time: 00:00:12, buffering time: 00:00:00
UC05_whatching_video.c(334): Notify: Stream id=1, play time: 00:00:12, buffering time: 00:00:00
UC05_whatching_video.c(334): Notify: Stream id=1, play time: 00:00:12, buffering time: 00:00:00
UC05_whatching_video.c(334): Notify: Stream id=1, play time: 00:00:12, buffering time: 00:00:00
UC05_whatching_video.c(334): Notify: Stream id=1, play time: 00:00:12, buffering time: 00:00:00
UC05_whatching_video.c(334): Notify: Stream id=1, play time: 00:00:12, buffering time: 00:00:00
UC05_whatching_video.c(334): Notify: Stream id=1, play time: 00:00:12, buffering time: 00:00:00
UC05_whatching_video.c(334): Notify: Stream id=1, play time: 00:00:12, buffering time: 00:00:00
UC05_whatching_video.c(334): Notify: Stream id=1, play time: 00:00:12, buffering time: 00:00:00
UC05_whatching_video.c(334): Notify: Stream id=1, play time: 00:00:12, buffering time: 00:00:00
UC05_whatching_video.c(334): Notify: Stream id=1, play time: 00:00:12, buffering time: 00:00:00
UC05_whatching_video.c(334): Notify: Stream id=1, play time: 00:00:12, buffering time: 00:00:00
UC05_whatching_video.c(334): Notify: Stream id=1, play time: 00:00:12, buffering time: 00:00:00
UC05_whatching_video.c(334): Notify: Stream id=1, play time: 00:00:12, buffering time: 00:00:00
UC05_whatching_video.c(334): Notify: Stream id=1, play time: 00:00:12, buffering time: 00:00:00
UC05_whatching_video.c(334): Notify: Stream id=1, play time: 00:00:12, buffering time: 00:00:00
UC05_whatching_video.c(334): Notify: Stream id=1, play time: 00:00:12, buffering time: 00:00:00
UC05_whatching_video.c(334): Notify: Stream id=1, play time: 00:00:12, buffering time: 00:00:00
UC05_whatching_video.c(334): Notify: Stream id=1, play time: 00:00:12, buffering time: 00:00:00
UC05_whatching_video.c(334): Notify: Stream id=1, play time: 00:00:12, buffering time: 00:00:00
UC05_whatching_video.c(334): Notify: Stream id=1, play time: 00:00:12, buffering time: 00:00:00
UC05_whatching_video.c(334): Notify: Stream id=1, play time: 00:00:12, buffering time: 00:00:00
UC05_whatching_video.c(334): Notify: Stream id=1, play time: 00:00:12, buffering time: 00:00:00
UC05_whatching_video.c(334): Notify: Stream id=1, play time: 00:00:12, buffering time: 00:00:00
UC05_whatching_video.c(334): Notify: Stream id=1, play time: 00:00:12, buffering time: 00:00:00
UC05_whatching_video.c(334): Notify: Stream id=1, play time: 00:00:12, buffering time: 00:00:00
UC05_whatching_video.c(334): Notify: Stream id=1, play time: 00:00:12, buffering time: 00:00:00
UC05_whatching_video.c(334): Notify: Stream id=1, play time: 00:00:12, buffering time: 00:00:00
UC05_whatching_video.c(334): Notify: Stream id=1, play time: 00:00:12, buffering time: 00:00:00
UC05_whatching_video.c(334): Notify: Stream id=1, play time: 00:00:12, buffering time: 00:00:00
UC05_whatching_video.c(334): Notify: Stream id=1, play time: 00:00:12, buffering time: 00:00:00
UC05_whatching_video.c(334): Notify: Stream id=1, play time: 00:00:12, buffering time: 00:00:00
UC05_whatching_video.c(334): Notify: Stream id=1, play time: 00:00:12, buffering time: 00:00:00
UC05_whatching_video.c(334): Notify: Stream id=1, play time: 00:00:12, buffering time: 00:00:00
UC05_whatching_video.c(334): Notify: Stream id=1, play time: 00:00:12, buffering time: 00:00:00
UC05_whatching_video.c(334): Notify: Stream id=1, play time: 00:00:12, buffering time: 00:00:00
UC05_whatching_video.c(334): Notify: Stream id=1, play time: 00:00:12, buffering time: 00:00:00
UC05_whatching_video.c(334): Notify: Stream id=1, play time: 00:00:12, buffering time: 00:00:00
UC05_whatching_video.c(334): Notify: Stream id=1, play time: 00:00:12, buffering time: 00:00:00
UC05_whatching_video.c(334): Notify: Stream id=1, play time: 00:00:12, buffering time: 00:00:00
UC05_whatching_video.c(334): Notify: Stream id=1, play time: 00:00:12, buffering time: 00:00:00
UC05_whatching_video.c(334): Notify: Stream id=1, play time: 00:00:12, buffering time: 00:00:00
UC05_whatching_video.c(334): Notify: Stream id=1, play time: 00:00:12, buffering time: 00:00:00
UC05_whatching_video.c(334): Notify: Stream id=1, play time: 00:00:12, buffering time: 00:00:00
UC05_whatching_video.c(334): Notify: Stream id=1, play time: 00:00:12, buffering time: 00:00:00
UC05_whatching_video.c(334): Notify: Stream id=1, play time: 00:00:12, buffering time: 00:00:00
UC05_whatching_video.c(334): Notify: Stream id=1, play time: 00:00:12, buffering time: 00:00:00
UC05_whatching_video.c(334): Notify: Stream id=1, play time: 00:00:12, buffering time: 00:00:00
UC05_whatching_video.c(334): Notify: Stream id=1, play time: 00:00:12, buffering time: 00:00:00
UC05_whatching_video.c(334): Notify: Stream id=1, play time: 00:00:12, buffering time: 00:00:00
UC05_whatching_video.c(334): Notify: Stream id=1, play time: 00:00:12, buffering time: 00:00:00
UC05_whatching_video.c(334): Notify: Stream id=1, play time: 00:00:12, buffering time: 00:00:00
UC05_whatching_video.c(334): Notify: Stream id=1, play time: 00:00:12, buffering time: 00:00:00
UC05_whatching_video.c(334): Notify: Stream id=1, play time: 00:00:12, buffering time: 00:00:00
UC05_whatching_video.c(334): Notify: Stream id=1, play time: 00:00:12, buffering time: 00:00:00
UC05_whatching_video.c(334): Notify: Stream id=1, play time: 00:00:12, buffering time: 00:00:00
UC05_whatching_video.c(334): Notify: Stream id=1, play time: 00:00:12, buffering time: 00:00:00
UC05_whatching_video.c(334): Notify: Stream id=1, play time: 00:00:12, buffering time: 00:00:00
UC05_whatching_video.c(334): Notify: Stream id=1, play time: 00:00:12, buffering time: 00:00:00
UC05_whatching_video.c(334): Notify: Stream id=1, play time: 00:00:12, buffering time: 00:00:00
UC05_whatching_video.c(334): Notify: Stream id=1, play time: 00:00:12, buffering time: 00:00:00
UC05_whatching_video.c(334): Notify: Stream id=1, play time: 00:00:12, buffering time: 00:00:00
UC05_whatching_video.c(334): Notify: Stream id=1, play time: 00:00:12, buffering time: 00:00:00
UC05_whatching_video.c(334): Notify: Stream id=1, play time: 00:00:12, buffering time: 00:00:00
UC05_whatching_video.c(334): Notify: Stream id=1, play time: 00:00:12, buffering time: 00:00:00
UC05_whatching_video.c(334): Notify: Stream id=1, play time: 00:00:12, buffering time: 00:00:00
UC05_whatching_video.c(334): Notify: Stream id=1, play time: 00:00:12, buffering time: 00:00:00
UC05_whatching_video.c(334): Notify: Stream id=1, play time: 00:00:12, buffering time: 00:00:00
UC05_whatching_video.c(334): Notify: Stream id=1, play time: 00:00:12, buffering time: 00:00:00
UC05_whatching_video.c(334): Notify: Stream id=1, play time: 00:00:12, buffering time: 00:00:00
UC05_whatching_video.c(334): Notify: Stream id=1, play time: 00:00:12, buffering time: 00:00:00
UC05_whatching_video.c(334): Notify: Stream id=1, play time: 00:00:12, buffering time: 00:00:00
UC05_whatching_video.c(334): Notify: Stream id=1, play time: 00:00:12, buffering time: 00:00:00
UC05_whatching_video.c(334): Notify: Stream id=1, play time: 00:00:12, buffering time: 00:00:00
UC05_whatching_video.c(334): Notify: Stream id=1, play time: 00:00:12, buffering time: 00:00:00
